,no,effectiveDate,mid
355,105/A/NBP/2003,2003-05-30,6.1171
356,106/A/NBP/2003,2003-06-02,6.1139
357,107/A/NBP/2003,2003-06-03,6.1545
358,108/A/NBP/2003,2003-06-04,6.1852
359,109/A/NBP/2003,2003-06-05,6.2598
360,110/A/NBP/2003,2003-06-06,6.2426
361,111/A/NBP/2003,2003-06-09,6.1765
362,112/A/NBP/2003,2003-06-10,6.256
363,113/A/NBP/2003,2003-06-11,6.2929
364,114/A/NBP/2003,2003-06-12,6.3546
365,115/A/NBP/2003,2003-06-13,6.3112
366,116/A/NBP/2003,2003-06-16,6.2391
367,117/A/NBP/2003,2003-06-17,6.263
368,118/A/NBP/2003,2003-06-18,6.2615
369,119/A/NBP/2003,2003-06-20,6.3643
370,120/A/NBP/2003,2003-06-23,6.349
371,121/A/NBP/2003,2003-06-24,6.4538
372,122/A/NBP/2003,2003-06-25,6.4552
373,123/A/NBP/2003,2003-06-26,6.4692
374,124/A/NBP/2003,2003-06-27,6.518
375,125/A/NBP/2003,2003-06-30,6.424
376,126/A/NBP/2003,2003-07-01,6.3745
377,127/A/NBP/2003,2003-07-02,6.3744
378,128/A/NBP/2003,2003-07-03,6.4407
379,129/A/NBP/2003,2003-07-04,6.4958
380,130/A/NBP/2003,2003-07-07,6.4645
381,131/A/NBP/2003,2003-07-08,6.4451
382,132/A/NBP/2003,2003-07-09,6.4023
383,133/A/NBP/2003,2003-07-10,6.4195
384,134/A/NBP/2003,2003-07-11,6.4183
385,135/A/NBP/2003,2003-07-14,6.404
386,136/A/NBP/2003,2003-07-15,6.3377
387,137/A/NBP/2003,2003-07-16,6.3429
388,138/A/NBP/2003,2003-07-17,6.3775
389,139/A/NBP/2003,2003-07-18,6.3635
390,140/A/NBP/2003,2003-07-21,6.2973
391,141/A/NBP/2003,2003-07-22,6.2759
392,142/A/NBP/2003,2003-07-23,6.2672
393,143/A/NBP/2003,2003-07-24,6.2057
394,144/A/NBP/2003,2003-07-25,6.2183
395,145/A/NBP/2003,2003-07-28,6.2331
396,146/A/NBP/2003,2003-07-29,6.241
397,147/A/NBP/2003,2003-07-30,6.2074
398,148/A/NBP/2003,2003-07-31,6.2421
399,149/A/NBP/2003,2003-08-01,6.249
400,150/A/NBP/2003,2003-08-04,6.2453
401,151/A/NBP/2003,2003-08-05,6.1994
402,152/A/NBP/2003,2003-08-06,6.2071
403,153/A/NBP/2003,2003-08-07,6.1886
404,154/A/NBP/2003,2003-08-08,6.2058
405,155/A/NBP/2003,2003-08-11,6.1945
406,156/A/NBP/2003,2003-08-12,6.1851
407,157/A/NBP/2003,2003-08-13,6.2272
408,158/A/NBP/2003,2003-08-14,6.2392
409,159/A/NBP/2003,2003-08-18,6.2097
410,160/A/NBP/2003,2003-08-19,6.2359
411,161/A/NBP/2003,2003-08-20,6.2582
412,162/A/NBP/2003,2003-08-21,6.2701
413,163/A/NBP/2003,2003-08-22,6.3018
414,164/A/NBP/2003,2003-08-25,6.3082
415,165/A/NBP/2003,2003-08-26,6.3012
416,166/A/NBP/2003,2003-08-27,6.2931
417,167/A/NBP/2003,2003-08-28,6.2826
418,168/A/NBP/2003,2003-08-29,6.3189
419,169/A/NBP/2003,2003-09-01,6.2612
420,170/A/NBP/2003,2003-09-02,6.2701
421,171/A/NBP/2003,2003-09-03,6.3231
422,172/A/NBP/2003,2003-09-04,6.3382
423,173/A/NBP/2003,2003-09-05,6.3792
424,174/A/NBP/2003,2003-09-08,6.3639
425,175/A/NBP/2003,2003-09-09,6.3083
426,176/A/NBP/2003,2003-09-10,6.3129
427,177/A/NBP/2003,2003-09-11,6.2979
428,178/A/NBP/2003,2003-09-12,6.3191
429,179/A/NBP/2003,2003-09-15,6.3194
430,180/A/NBP/2003,2003-09-16,6.3647
431,181/A/NBP/2003,2003-09-17,6.4483
432,182/A/NBP/2003,2003-09-18,6.4895
433,183/A/NBP/2003,2003-09-19,6.4783
434,184/A/NBP/2003,2003-09-22,6.4895
435,185/A/NBP/2003,2003-09-23,6.47
436,186/A/NBP/2003,2003-09-24,6.4775
437,187/A/NBP/2003,2003-09-25,6.5069
438,188/A/NBP/2003,2003-09-26,6.5662
439,189/A/NBP/2003,2003-09-29,6.5705
440,190/A/NBP/2003,2003-09-30,6.6497
441,191/A/NBP/2003,2003-10-01,6.5129
442,192/A/NBP/2003,2003-10-02,6.5077
443,193/A/NBP/2003,2003-10-03,6.4888
444,194/A/NBP/2003,2003-10-06,6.5134
445,195/A/NBP/2003,2003-10-07,6.483
446,196/A/NBP/2003,2003-10-08,6.4144
447,197/A/NBP/2003,2003-10-09,6.3461
448,198/A/NBP/2003,2003-10-10,6.4248
449,199/A/NBP/2003,2003-10-13,6.3949
450,200/A/NBP/2003,2003-10-14,6.4479
451,201/A/NBP/2003,2003-10-15,6.5229
452,202/A/NBP/2003,2003-10-16,6.6317
453,203/A/NBP/2003,2003-10-17,6.6399
454,204/A/NBP/2003,2003-10-20,6.6321
455,205/A/NBP/2003,2003-10-21,6.5915
456,206/A/NBP/2003,2003-10-22,6.6251
457,207/A/NBP/2003,2003-10-23,6.6598
458,208/A/NBP/2003,2003-10-24,6.6869
459,209/A/NBP/2003,2003-10-27,6.7135
460,210/A/NBP/2003,2003-10-28,6.7274
461,211/A/NBP/2003,2003-10-29,6.7806
462,212/A/NBP/2003,2003-10-30,6.7771
463,213/A/NBP/2003,2003-10-31,6.8155
464,214/A/NBP/2003,2003-11-03,6.8129
465,215/A/NBP/2003,2003-11-04,6.763
466,216/A/NBP/2003,2003-11-05,6.7055
467,217/A/NBP/2003,2003-11-06,6.7307
468,218/A/NBP/2003,2003-11-07,6.6786
469,219/A/NBP/2003,2003-11-10,6.6715
470,220/A/NBP/2003,2003-11-12,6.6232
471,221/A/NBP/2003,2003-11-13,6.5936
472,222/A/NBP/2003,2003-11-14,6.5519
473,223/A/NBP/2003,2003-11-17,6.5406
474,224/A/NBP/2003,2003-11-18,6.6037
